V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
461.71292,5.1,5.4122543,92389.0,0.7688208,2.18,0.19589968,0.01,2016-03-13 04:30:00
459.26056,4.93,5.4286737,99497.0,0.702159,2.08,0.19312459,0.01,2016-03-13 04:35:00
460.91882,4.8,5.477271,90281.0,0.7825673,2.04,0.16136801,0.04,2016-03-13 04:40:00
456.98425,4.62,5.434271,92360.0,0.7448072,1.93,0.1430148,0.03,2016-03-13 04:50:00
458.12778,5.33,4.30754,97300.0,0.7125146,2.24,0.39794004,0.43,2016-03-13 04:55:00
457.8044,6.03,4.2289596,98992.0,0.6987984,2.53,0.5010593,0.33,2016-03-13 05:00:00
455.20187,6.26,4.7553864,98866.0,0.6873809,2.59,0.4871384,0.44,2016-03-13 05:05:00
462.4542,4.93,5.476614,84173.0,0.8480888,2.11,0.13672057,0.34,2016-03-13 05:10:00
466.6315,5.66,5.388701,92091.0,0.797176,2.47,0.24054927,0.08,2016-03-13 05:15:00
464.88904,5.55,5.1409144,91688.0,0.79140925,2.4,0.22788674,0.14,2016-03-13 05:20:00
461.8743,5.9,5.882091,96446.0,0.73728204,2.52,0.18752073,0.39,2016-03-13 05:25:00
463.2185,5.86,6.875565,104509.0,0.6865829,2.51,0.06818584,0.31,2016-03-13 05:30:00
462.0233,5.41,7.272943,95370.0,0.7463492,2.31,-0.026872149,0.08,2016-03-13 05:35:00
460.56128,5.53,7.143347,92070.0,0.7655099,2.35,-0.0043648016,0.14,2016-03-13 05:40:00
459.09955,5.16,6.6984477,88245.0,0.79082656,2.17,0.008600163,0.07,2016-03-13 05:45:00
459.63547,4.94,6.3380594,87951.0,0.79635686,2.09,0.012837212,0.09,2016-03-13 05:50:00
452.9081,4.73,6.317088,95830.0,0.69809276,1.94,0.0293838,0.04,2016-03-13 05:55:00
456.3195,4.54,6.2714033,97861.0,0.69976145,1.89,0.017033322,0.03,2016-03-13 06:00:00
458.74518,4.43,6.032363,102234.0,0.68097633,1.87,0.0293838,0.1,2016-03-13 06:05:00
455.50455,4.74,5.8945227,94882.0,0.7177269,1.96,0.096910015,0.07,2016-03-13 06:10:00
455.2132,4.66,5.4724855,87416.0,0.7774762,1.93,0.08278538,0.04,2016-03-13 06:15:00
455.5892,4.68,5.804567,83722.0,0.8138693,1.94,0.08635984,0.02,2016-03-13 06:20:00
456.8437,4.66,5.7740455,85755.0,0.8014057,1.95,0.09342169,0.02,2016-03-13 06:25:00
455.47253,4.56,5.697447,83800.0,0.8124638,1.89,0.08990512,0.02,2016-03-13 06:30:00
454.94238,4.69,5.666048,82055.0,0.8267391,1.94,0.10037054,0.03,2016-03-13 06:35:00
455.5023,4.63,5.698719,86949.0,0.78319824,1.92,0.10380372,0.02,2016-03-13 06:40:00
455.67224,4.59,5.5717683,86130.0,0.7915643,1.91,0.117271274,0.04,2016-03-13 06:45:00
455.37067,4.78,5.468629,85783.0,0.79313004,1.99,0.15228835,0.08,2016-03-13 06:50:00
455.71872,4.97,5.2708063,83853.0,0.8133171,2.06,0.1903317,0.07,2016-03-13 06:55:00
458.834,5.06,4.927971,84675.0,0.82268566,2.13,0.23804612,0.1,2016-03-13 07:00:00
459.03183,5.63,5.2467704,93104.0,0.74920994,2.37,0.26717174,0.04,2016-03-13 07:05:00
460.48727,5.41,5.4020553,80384.0,0.8763591,2.29,0.20412001,0.01,2016-03-13 07:10:00
461.89056,5.28,5.214758,90809.0,0.7831349,2.25,0.24303806,0.06,2016-03-13 07:15:00
455.18826,4.9,5.7755437,79063.0,0.85946983,2.03,0.096910015,0.04,2016-03-13 07:35:00
454.97046,4.95,5.764911,76940.0,0.8818702,2.05,0.10380372,0.01,2016-03-13 07:40:00
453.8517,4.9,5.7180943,75394.0,0.8930827,2.02,0.10037054,0.01,2016-03-13 07:50:00
453.5771,4.7,5.6525393,87868.0,0.7648554,1.94,0.12057395,0.02,2016-03-13 07:55:00
456.8236,4.82,5.591431,86538.0,0.7940459,2.01,0.1398791,0.03,2016-03-13 08:00:00
454.28363,4.86,5.4909196,89971.0,0.75060576,2.0,0.16435286,0.04,2016-03-13 08:10:00
454.79077,4.93,5.5103993,87738.0,0.7723873,2.04,0.16435286,0.05,2016-03-13 08:15:00
453.83505,4.86,5.5387363,89708.0,0.7504947,2.0,0.15533602,0.04,2016-03-13 08:20:00
451.02972,4.77,5.5469723,94874.0,0.6960631,1.94,0.15836251,0.02,2016-03-13 08:25:00
452.04565,4.78,5.556636,90262.0,0.7367713,1.96,0.14612804,0.03,2016-03-13 08:30:00
454.99005,5.01,5.613172,85608.0,0.7926852,2.07,0.14612804,0.02,2016-03-13 08:35:00
450.6561,5.04,5.671014,77540.0,0.8494731,2.05,0.12710482,0.01,2016-03-13 08:45:00
451.6161,5.08,5.6579943,79431.0,0.83476144,2.07,0.13672057,0.02,2016-03-13 08:50:00
452.56027,5.04,5.6436157,77973.0,0.8559171,2.06,0.13353892,0.03,2016-03-13 08:55:00
448.93298,4.81,5.7452674,77368.0,0.841269,1.94,0.09342169,0.01,2016-03-13 09:00:00
450.39774,4.87,5.7103853,71785.0,0.91593885,1.98,0.08635984,0.01,2016-03-13 09:05:00
445.9578,5.27,5.604159,73682.0,0.8652574,2.09,0.1492191,0.03,2016-03-13 09:10:00
446.91095,5.14,5.6763635,74537.0,0.86103594,2.05,0.12057395,0.09,2016-03-13 09:15:00
445.8973,4.7,5.952529,71774.0,0.88788384,1.87,0.033423774,0.09,2016-03-13 09:20:00
447.3179,4.7,5.962424,70342.0,0.91497445,1.88,0.033423774,0.05,2016-03-13 09:25:00
