V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
305.04303,7.31,3.2680576,34848.0,0.56091034,1.36,0.6748612,0.05,2020-07-10 04:50:00
306.83136,7.32,3.3401346,44760.0,0.44471732,1.38,0.66370094,0.07,2020-07-10 04:55:00
305.80518,7.03,3.1691957,40898.0,0.48166266,1.31,0.6910815,0.05,2020-07-10 05:00:00
306.0121,6.97,3.2093925,39649.0,0.49788284,1.31,0.61489725,0.14,2020-07-10 05:05:00
313.2277,6.72,3.2924762,31242.0,0.67940545,1.32,0.5774918,0.04,2020-07-10 05:10:00
315.45026,6.98,3.251369,31276.0,0.69377065,1.39,0.6053051,0.03,2020-07-10 05:15:00
314.84122,7.13,3.4338608,28172.0,0.7655906,1.41,0.5820634,0.08,2020-07-10 05:20:00
314.94635,7.25,3.540819,26060.0,0.82849777,1.44,0.5670264,0.03,2020-07-10 05:25:00
318.05276,7.06,3.520469,27587.0,0.8069204,1.43,0.55022836,0.07,2020-07-10 05:30:00
318.02646,7.19,3.716248,26281.0,0.84680104,1.45,0.51587385,0.08,2020-07-10 05:35:00
318.63766,7.24,3.7690582,25053.0,0.8936334,1.47,0.50379074,0.04,2020-07-10 05:40:00
318.96024,7.07,3.7456508,28144.0,0.797997,1.44,0.51719594,0.01,2020-07-10 05:45:00
318.2556,7.32,3.6473687,27448.0,0.81261796,1.48,0.5575072,0.08,2020-07-10 05:50:00
318.52603,7.48,3.429592,29549.0,0.75683737,1.52,0.61804813,0.03,2020-07-10 05:55:00
318.1313,7.05,3.4440672,34270.0,0.6500621,1.43,0.5774918,0.09,2020-07-10 06:00:00
312.7321,6.41,3.4383426,29549.0,0.71479946,1.25,0.5587086,0.06,2020-07-10 06:05:00
311.61862,6.8,3.553449,29371.0,0.7111908,1.32,0.53019977,0.11,2020-07-10 06:10:00
307.8147,6.93,3.6557624,30086.0,0.6682447,1.31,0.5538831,0.08,2020-07-10 06:15:00
315.00485,7.45,3.3484623,34617.0,0.6240615,1.48,0.61700034,0.05,2020-07-10 06:20:00
318.71637,7.23,3.7742946,25429.0,0.881097,1.47,0.4927604,0.21,2020-07-10 06:25:00
320.93893,7.23,4.064997,24981.0,0.91651255,1.49,0.43456894,0.02,2020-07-10 06:30:00
320.4663,6.89,4.3135366,22980.0,0.99175817,1.42,0.363612,0.05,2020-07-10 06:35:00
320.95276,6.96,4.315391,23894.0,0.9583354,1.43,0.37106785,0.06,2020-07-10 06:40:00
321.1445,7.01,4.404021,24580.0,0.9333229,1.45,0.35793486,0.05,2020-07-10 06:45:00
323.253,7.42,4.1110096,28753.0,0.8142881,1.56,0.45331836,0.36,2020-07-10 06:50:00
320.47778,7.02,3.6258104,23233.0,0.9810676,1.44,0.50920254,0.27,2020-07-10 06:55:00
323.09192,7.39,4.04758,31120.0,0.75118667,1.54,0.45636603,0.1,2020-07-10 07:00:00
322.95233,7.58,3.8077028,30528.0,0.7647241,1.58,0.49554437,0.08,2020-07-10 07:05:00
319.1086,7.35,3.507264,27271.0,0.82473564,1.5,0.50379074,0.08,2020-07-10 07:10:00
322.715,7.66,3.7106333,32936.0,0.7071936,1.6,0.54282546,0.09,2020-07-10 07:15:00
322.97495,8.05,3.5953443,32736.0,0.71329993,1.68,0.59769523,0.06,2020-07-10 07:20:00
321.85748,7.75,3.6074507,31236.0,0.7395314,1.6,0.587711,0.04,2020-07-10 07:25:00
321.25925,8.08,3.286746,33649.0,0.6825345,1.67,0.6972294,0.18,2020-07-10 07:30:00
321.19156,8.24,3.357067,35937.0,0.63866055,1.7,0.6901961,0.16,2020-07-10 07:35:00
321.99844,7.89,3.5184515,35431.0,0.6528607,1.64,0.6314438,0.07,2020-07-10 07:40:00
322.82666,8.02,3.2128801,32564.0,0.7160432,1.67,0.7176705,0.05,2020-07-10 07:45:00
320.892,8.29,3.2653022,36247.0,0.63136184,1.71,0.70415056,0.28,2020-07-10 07:50:00
320.75513,7.78,3.641552,35188.0,0.64949983,1.6,0.5987905,0.13,2020-07-10 07:55:00
321.27884,7.81,3.5261736,34270.0,0.67029375,1.61,0.6324573,0.15,2020-07-10 08:00:00
319.24695,7.91,3.4576435,34558.0,0.6517082,1.61,0.66558105,0.1,2020-07-10 08:05:00
318.23407,7.87,3.1433263,34997.0,0.6371987,1.59,0.71600336,0.19,2020-07-10 08:10:00
314.26852,7.14,3.6811547,28127.0,0.7624818,1.41,0.4983106,0.15,2020-07-10 08:15:00
313.42258,7.02,3.8162808,27265.0,0.78001565,1.38,0.47275648,0.13,2020-07-10 08:20:00
316.01425,6.93,3.6839244,26087.0,0.8364075,1.38,0.519828,0.27,2020-07-10 08:25:00
323.13052,7.38,3.9756885,27829.0,0.8403328,1.54,0.50242716,0.19,2020-07-10 08:30:00
323.1002,7.45,3.6818066,27468.0,0.85112816,1.56,0.55022836,0.04,2020-07-10 08:35:00
316.99545,7.14,3.3974106,29011.0,0.75939995,1.44,0.51454777,0.06,2020-07-10 08:40:00
312.59875,6.95,3.6193507,32668.0,0.64569575,1.36,0.5289167,0.09,2020-07-10 08:45:00
314.76465,6.22,4.250094,21488.0,1.0029737,1.23,0.3324385,0.23,2020-07-10 08:50:00
318.44635,6.49,4.267318,22576.0,0.98982906,1.32,0.35410845,0.15,2020-07-10 08:55:00
321.29272,7.18,3.5718625,30526.0,0.7526063,1.48,0.52113813,0.3,2020-07-10 09:00:00
312.7363,6.38,3.454649,29335.0,0.7200442,1.25,0.4502491,0.22,2020-07-10 09:05:00
312.8124,6.4,3.88955,33440.0,0.63213235,1.25,0.4409091,0.02,2020-07-10 09:10:00
315.17032,6.81,4.0711794,26140.0,0.827792,1.35,0.42160395,0.04,2020-07-10 09:15:00
312.4936,6.63,4.1193933,25485.0,0.82682014,1.29,0.3944517,0.06,2020-07-10 09:20:00
325.9982,7.07,2.3140657,52981.0,0.4537054,1.5,0.9068735,1.16,2020-07-10 09:25:00
327.61377,6.87,2.2505777,50108.0,0.48715872,1.48,0.9571282,0.27,2020-07-10 09:30:00
