V,Np,B,Tp,Texp/Tp,Pdyn,logBeta,B_rms,Time
329.89777,5.62,13.531271,49185.0,0.50715125,1.23,-0.65757734,0.01,2022-12-20 04:20:00
327.98752,5.78,13.560668,47342.0,0.51745474,1.25,-0.63827217,0.02,2022-12-20 04:25:00
329.97366,5.19,13.656955,49332.0,0.50600237,1.13,-0.69897,0.08,2022-12-20 04:30:00
336.94644,4.01,13.666678,58237.0,0.45746008,0.91,-0.79588,0.07,2022-12-20 04:35:00
338.82516,4.47,13.475418,78200.0,0.3466272,1.03,-0.67778075,0.09,2022-12-20 04:40:00
337.01093,4.72,13.404022,80429.0,0.3314349,1.07,-0.63827217,0.08,2022-12-20 04:45:00
337.7787,4.25,13.464861,74350.0,0.36108246,0.97,-0.69897,0.02,2022-12-20 04:50:00
333.61517,4.71,13.342961,71318.0,0.3621765,1.05,-0.65757734,0.06,2022-12-20 04:55:00
335.83725,5.26,13.256519,72059.0,0.36593685,1.19,-0.60206,0.08,2022-12-20 05:00:00
335.70874,4.45,13.442473,92568.0,0.28452218,1.0,-0.65757734,0.09,2022-12-20 05:05:00
336.1793,4.33,13.682113,84950.0,0.31139183,0.98,-0.67778075,0.04,2022-12-20 05:10:00
338.45776,4.07,13.708322,103194.0,0.26178703,0.93,-0.67778075,0.05,2022-12-20 05:15:00
337.7207,4.47,13.81637,88284.0,0.3039298,1.02,-0.67778075,0.05,2022-12-20 05:20:00
335.34683,4.98,13.565002,83728.0,0.31350756,1.12,-0.6197888,0.16,2022-12-20 05:30:00
335.83417,6.51,13.104889,94886.0,0.27789444,1.47,-0.4685211,0.24,2022-12-20 05:35:00
346.79276,4.18,13.917561,71524.0,0.40741906,0.98,-0.7212464,0.55,2022-12-20 05:40:00
343.28775,3.39,13.995504,152378.0,0.18528375,0.8,-0.67778075,0.1,2022-12-20 05:45:00
342.46823,5.52,13.341807,131748.0,0.21270818,1.29,-0.5086383,0.21,2022-12-20 05:50:00
343.9974,5.59,13.755153,104480.0,0.27196828,1.32,-0.552842,0.28,2022-12-20 05:55:00
352.8097,3.67,14.367501,105405.0,0.29166722,0.92,-0.7695511,0.01,2022-12-20 06:00:00
346.32248,4.59,14.177675,104898.0,0.27662498,1.1,-0.65757734,0.15,2022-12-20 06:05:00
340.29913,6.93,13.871128,89717.0,0.30624098,1.61,-0.4685211,0.32,2022-12-20 06:10:00
341.93463,3.73,14.341221,110558.0,0.2522492,0.87,-0.7447275,0.04,2022-12-20 06:15:00
344.87698,3.73,14.263135,89195.0,0.32111707,0.89,-0.79588,0.17,2022-12-20 06:20:00
349.37408,6.51,13.857666,66284.0,0.44989425,1.59,-0.552842,0.02,2022-12-20 06:25:00
339.61182,6.58,13.892361,61180.0,0.44626734,1.52,-0.56863624,0.01,2022-12-20 06:35:00
340.98822,6.24,13.925405,57916.0,0.47739112,1.45,-0.60206,0.04,2022-12-20 06:40:00
346.5603,4.87,13.989975,53775.0,0.54076207,1.17,-0.7212464,0.01,2022-12-20 06:45:00
344.8215,6.03,13.973664,58132.0,0.49246022,1.43,-0.6197888,0.04,2022-12-20 06:50:00
341.54498,7.17,14.013098,57393.0,0.4841942,1.67,-0.552842,0.02,2022-12-20 06:55:00
343.4948,6.64,14.09236,47735.0,0.59256744,1.57,-0.6197888,0.03,2022-12-20 07:00:00
343.69028,6.7,13.931766,46048.0,0.6153653,1.58,-0.60206,0.19,2022-12-20 07:05:00
350.0768,11.7,12.649886,49724.0,0.6034894,2.87,-0.27572417,0.14,2022-12-20 07:10:00
348.56094,12.64,12.593688,47342.0,0.6253487,3.07,-0.24412516,0.04,2022-12-20 07:15:00
345.6983,13.0,12.828472,47606.0,0.6061192,3.11,-0.23657204,0.02,2022-12-20 07:20:00
342.48773,12.65,12.707612,49141.0,0.5703759,2.97,-0.24412516,0.05,2022-12-20 07:25:00
345.081,12.22,12.835205,43778.0,0.6554619,2.91,-0.27572417,0.02,2022-12-20 07:35:00
344.2283,12.23,12.839587,43166.0,0.659655,2.91,-0.27572417,0.04,2022-12-20 07:40:00
352.16046,13.54,12.701792,48657.0,0.6282224,3.36,-0.21467017,0.09,2022-12-20 07:45:00
350.10117,12.41,12.965624,45196.0,0.6640943,3.04,-0.27572417,0.04,2022-12-20 07:50:00
347.04105,12.38,12.340503,52903.0,0.5520526,3.0,-0.27572417,0.21,2022-12-20 07:55:00
342.03253,9.59,13.523942,51588.0,0.5410761,2.24,-0.40893543,0.02,2022-12-20 08:00:00
339.1181,10.45,13.319122,53965.0,0.5036463,2.4,-0.35654733,0.25,2022-12-20 08:05:00
339.79355,12.33,12.995715,46161.0,0.59245133,2.85,-0.27572417,0.05,2022-12-20 08:10:00
343.17612,10.38,13.189311,63309.0,0.44550684,2.44,-0.32790217,0.38,2022-12-20 08:15:00
350.1607,10.21,13.624516,73557.0,0.40825891,2.51,-0.3372422,0.07,2022-12-20 08:20:00
346.5621,10.67,13.338234,75890.0,0.3831856,2.57,-0.30103,0.29,2022-12-20 08:25:00
349.31943,12.57,14.035754,53903.0,0.5529612,3.07,-0.32790217,0.23,2022-12-20 08:30:00
350.1098,12.93,14.412664,47813.0,0.62779397,3.18,-0.3467875,0.12,2022-12-20 08:35:00
349.70798,13.29,14.770464,49744.0,0.6012705,3.25,-0.3467875,0.08,2022-12-20 08:40:00
345.63,12.34,14.58697,56274.0,0.5124422,2.95,-0.37675074,0.23,2022-12-20 08:45:00
345.14536,12.78,14.5870695,58807.0,0.48823234,3.04,-0.3372422,0.31,2022-12-20 08:50:00
351.69476,13.49,13.348187,70831.0,0.42978013,3.35,-0.24412516,0.49,2022-12-20 08:55:00
354.14044,14.44,12.306824,68363.0,0.45500648,3.63,-0.19382004,0.11,2022-12-20 09:00:00
352.96756,14.83,12.285056,71938.0,0.42795226,3.7,-0.16115092,0.17,2022-12-20 09:05:00
360.84213,15.91,12.295214,76203.0,0.43272477,4.15,-0.10237289,0.06,2022-12-20 09:10:00
358.04944,15.01,12.402117,76982.0,0.41811,3.85,-0.11350928,0.04,2022-12-20 09:15:00
361.04483,15.72,12.6256485,79011.0,0.41807622,4.1,-0.08092192,0.05,2022-12-20 09:20:00
356.2026,15.6,12.539318,81102.0,0.39053205,3.96,-0.06550154,0.13,2022-12-20 09:25:00
354.53165,15.18,12.468909,75388.0,0.4140273,3.82,-0.09151498,0.17,2022-12-20 09:30:00
344.08072,14.93,12.042932,77539.0,0.36674032,3.54,-0.05551733,0.01,2022-12-20 09:45:00
342.53516,17.32,12.172382,85514.0,0.32791036,4.06,0.012837212,0.13,2022-12-20 10:00:00
344.26318,15.07,12.156266,78302.0,0.36376655,3.57,-0.07572073,0.12,2022-12-20 10:05:00
344.61835,15.42,12.076974,83273.0,0.34315115,3.66,-0.036212165,0.04,2022-12-20 10:10:00
349.9599,15.26,11.819937,86245.0,0.34757638,3.74,-0.036212165,0.31,2022-12-20 10:15:00
351.14627,13.06,11.823189,74524.0,0.40650266,3.22,-0.10790541,0.13,2022-12-20 10:20:00
353.5378,14.89,11.896776,81530.0,0.37950602,3.72,-0.045757502,0.08,2022-12-20 10:25:00
348.46017,15.07,11.306308,77445.0,0.38193077,3.65,-0.022276402,0.67,2022-12-20 10:30:00
356.61063,17.64,10.547445,101128.0,0.31431463,4.49,0.15533602,0.09,2022-12-20 10:35:00
362.08917,16.02,10.569797,91979.0,0.36237592,4.23,0.0293838,0.51,2022-12-20 10:40:00
369.54245,15.0,12.356897,70048.0,0.50698894,4.09,-0.09691001,0.05,2022-12-20 10:45:00
365.67123,14.87,12.214946,72869.0,0.47164375,3.98,-0.08092192,0.03,2022-12-20 10:50:00
359.9054,13.87,12.16162,68787.0,0.47551385,3.6,-0.119186416,0.06,2022-12-20 10:55:00
363.4114,14.13,12.263026,65088.0,0.51793474,3.73,-0.12493874,0.02,2022-12-20 11:00:00
363.4114,14.13,12.246669,65088.0,0.51793474,3.73,-0.12493874,0.02,2022-12-20 11:05:00
361.134,15.02,12.269189,81932.0,0.4034812,3.92,-0.05551733,0.04,2022-12-20 11:10:00
354.99622,14.03,12.280399,69118.0,0.4534302,3.54,-0.119186416,0.02,2022-12-20 11:20:00
370.07202,15.84,12.148308,73690.0,0.48408517,4.34,-0.05061,0.02,2022-12-20 11:25:00
350.48386,13.69,11.908396,71191.0,0.42304027,3.36,-0.10790541,0.1,2022-12-20 11:35:00
348.99814,13.78,12.039394,62578.0,0.4749434,3.36,-0.13076828,0.07,2022-12-20 11:40:00
351.86035,13.49,11.457739,65814.0,0.4632205,3.35,-0.13076828,0.11,2022-12-20 11:45:00
364.36523,13.79,11.560787,62573.0,0.5431662,3.66,-0.13667715,0.06,2022-12-20 11:50:00
355.68375,13.66,11.270511,62603.0,0.50364256,3.46,-0.13667715,0.15,2022-12-20 11:55:00
355.40887,14.65,11.614621,71686.0,0.4387711,3.69,-0.10237289,0.2,2022-12-20 12:05:00
360.1894,13.15,11.896928,46405.0,0.70659596,3.41,-0.18045606,0.07,2022-12-20 12:10:00
356.67813,13.59,11.836321,52659.0,0.6039754,3.46,-0.1426675,0.15,2022-12-20 12:15:00
356.8891,12.98,11.417709,62392.0,0.51069605,3.3,-0.14874166,0.14,2022-12-20 12:20:00
360.99203,12.67,11.1528425,53452.0,0.6177053,3.3,-0.16115092,0.33,2022-12-20 12:25:00
357.14487,12.11,11.2661705,51494.0,0.6201593,3.09,-0.18708667,0.11,2022-12-20 12:30:00
360.81555,12.55,11.074046,53923.0,0.61137843,3.27,-0.16115092,0.17,2022-12-20 12:35:00
359.63596,11.78,11.750111,50880.0,0.641372,3.05,-0.19382004,0.05,2022-12-20 12:40:00
361.6045,13.18,11.513032,53366.0,0.6219743,3.45,-0.10790541,0.21,2022-12-20 12:45:00
360.0014,13.94,10.873831,54331.0,0.6025353,3.62,-0.05061,0.01,2022-12-20 12:50:00
361.27255,13.14,11.001586,53710.0,0.6162264,3.43,-0.08618615,0.12,2022-12-20 12:55:00
356.48663,13.17,10.55381,47832.0,0.6638154,3.35,-0.09151498,0.16,2022-12-20 13:00:00
356.90594,13.04,11.208261,44432.0,0.7172313,3.32,-0.119186416,0.12,2022-12-20 13:05:00
354.86026,10.87,10.711102,55912.0,0.55985916,2.74,-0.1426675,0.31,2022-12-20 13:10:00
354.29324,10.1,10.776595,58699.0,0.5306292,2.54,-0.18045606,0.11,2022-12-20 13:15:00
354.78128,9.29,10.83432,63598.0,0.49185762,2.34,-0.22184876,0.07,2022-12-20 13:20:00
351.17267,11.78,9.940227,68046.0,0.44530606,2.91,-0.031517047,0.72,2022-12-20 13:25:00
350.46036,11.05,8.835304,89977.0,0.33464527,2.72,0.025305841,0.16,2022-12-20 13:30:00
356.0165,11.74,8.926953,89413.0,0.35365605,2.98,0.06818584,0.1,2022-12-20 13:35:00
359.47327,12.28,9.500026,88248.0,0.36926696,3.18,0.07554698,0.17,2022-12-20 13:40:00
366.16504,12.61,9.28641,82957.0,0.41603345,3.38,0.10380372,0.13,2022-12-20 13:45:00
360.2369,13.23,8.403838,89328.0,0.36722028,3.44,0.22271647,0.38,2022-12-20 13:50:00
353.20572,14.13,7.958473,96909.0,0.31834745,3.53,0.3201463,0.28,2022-12-20 13:55:00
352.52838,14.59,5.8287992,118898.0,0.25792643,3.63,0.6404815,0.66,2022-12-20 14:00:00
351.8508,14.75,6.5582695,137064.0,0.2224057,3.65,0.7671559,2.28,2022-12-20 14:05:00
354.69748,13.84,3.8482463,147244.0,0.2122882,3.48,1.0244857,0.95,2022-12-20 14:10:00
360.87753,11.48,6.7423735,123602.0,0.2668646,2.98,0.6748612,2.02,2022-12-20 14:15:00
365.18088,9.53,8.494168,105062.0,0.3257594,2.55,0.045322984,0.56,2022-12-20 14:20:00
363.5261,9.93,8.297645,105065.0,0.321177,2.63,0.02118928,1.27,2022-12-20 14:25:00
363.09222,10.07,9.460259,100711.0,0.333819,2.65,0.025305841,0.07,2022-12-20 14:30:00
364.35522,10.64,9.210353,107058.0,0.31744128,2.83,0.08990512,0.11,2022-12-20 14:35:00
364.73996,10.7,9.080584,104728.0,0.3255716,2.85,0.09342169,0.06,2022-12-20 14:40:00
364.36133,10.52,9.130641,99774.0,0.3406339,2.79,0.06818584,0.08,2022-12-20 14:45:00
364.95352,9.98,9.691924,91549.0,0.3731188,2.66,-0.013228253,0.12,2022-12-20 14:50:00
367.1415,9.81,9.728992,94327.0,0.3689316,2.65,-0.017728778,0.16,2022-12-20 14:55:00
366.5239,9.18,9.841844,78408.0,0.4415148,2.47,-0.09151498,0.07,2022-12-20 15:00:00
364.8743,9.15,9.880511,81054.0,0.4211461,2.44,-0.08618615,0.07,2022-12-20 15:05:00
367.8457,9.56,9.770537,83115.0,0.42120457,2.58,-0.05551733,0.15,2022-12-20 15:10:00
368.74127,9.76,9.643785,83771.0,0.4210817,2.66,-0.036212165,0.08,2022-12-20 15:15:00
368.2456,9.3,9.746282,77554.0,0.45293647,2.52,-0.08618615,0.12,2022-12-20 15:20:00
368.07245,9.57,8.951626,94776.0,0.37008992,2.59,0.07188199,0.51,2022-12-20 15:25:00
359.08514,10.43,7.545787,122252.0,0.2656617,2.68,0.2624511,0.5,2022-12-20 15:30:00
349.61392,12.88,5.953503,158338.0,0.18873905,3.15,0.52244425,0.61,2022-12-20 15:35:00
364.48016,9.87,8.592869,120921.0,0.2813483,2.59,0.12710482,1.05,2022-12-20 15:40:00
369.86893,7.21,9.981448,89823.0,0.3964612,1.97,-0.23657204,0.22,2022-12-20 15:45:00
363.8057,9.34,7.2397933,105262.0,0.32134414,2.46,0.13672057,1.57,2022-12-20 15:50:00
350.48303,12.97,6.0504875,142943.0,0.21068844,3.19,0.5403295,0.19,2022-12-20 15:55:00
353.7966,12.32,6.3546677,144573.0,0.21450537,3.08,0.48000696,0.07,2022-12-20 16:00:00
350.40768,11.86,6.6454573,141538.0,0.2126375,2.91,0.4456042,0.24,2022-12-20 16:05:00
361.7836,8.12,9.185744,141841.0,0.23437147,2.1,0.017033322,0.77,2022-12-20 16:10:00
353.6596,8.29,9.720083,161405.0,0.19190434,2.08,0.0293838,0.3,2022-12-20 16:15:00
359.15854,8.12,9.714453,169532.0,0.19169441,2.1,0.02118928,0.64,2022-12-20 16:20:00
356.04425,9.73,7.9858685,155523.0,0.2033726,2.46,0.28103337,0.58,2022-12-20 16:25:00
354.17087,9.64,8.8150835,193581.0,0.1607282,2.42,0.23044895,0.34,2022-12-20 16:30:00
349.20578,4.56,11.646256,194919.0,0.15276134,1.11,-0.30980393,0.81,2022-12-20 16:35:00
351.52118,2.44,12.899155,146067.0,0.20808947,0.61,-0.7695511,0.08,2022-12-20 16:40:00
347.8129,1.84,12.911259,95026.0,0.30947235,0.45,-0.9586073,0.26,2022-12-20 16:45:00
335.1205,1.63,13.266853,88434.0,0.2962011,0.37,-1.0457575,0.08,2022-12-20 16:50:00
328.7084,1.39,13.429454,68644.0,0.35932273,0.3,-1.154902,0.02,2022-12-20 16:55:00
333.55362,1.71,13.512317,77331.0,0.333823,0.38,-1.0969101,0.03,2022-12-20 17:00:00
335.5431,1.64,13.487912,70313.0,0.37400216,0.37,-1.0969101,0.07,2022-12-20 17:05:00
328.9813,1.21,13.274005,42173.0,0.586374,0.26,-1.30103,0.08,2022-12-20 17:10:00
332.79834,1.4,13.444873,42044.0,0.60967886,0.31,-1.30103,0.07,2022-12-20 17:15:00
324.60373,1.69,13.547498,56750.0,0.4179582,0.35,-1.154902,0.01,2022-12-20 17:25:00
326.63257,1.52,13.588002,52388.0,0.46162632,0.33,-1.2218488,0.01,2022-12-20 17:35:00
327.12173,1.44,13.590913,48454.0,0.50143653,0.31,-1.2218488,0.01,2022-12-20 17:40:00
330.0133,1.42,13.555918,50244.0,0.49700353,0.31,-1.2218488,0.01,2022-12-20 17:45:00
333.42963,1.56,13.495707,80275.0,0.32120848,0.35,-1.0969101,0.03,2022-12-20 17:50:00
337.00348,1.57,13.4610615,91436.0,0.291517,0.36,-1.0969101,0.02,2022-12-20 17:55:00
338.70428,1.54,13.469744,76000.0,0.35626522,0.35,-1.154902,0.01,2022-12-20 18:00:00
335.78046,1.55,13.48642,66633.0,0.39552727,0.35,-1.154902,0.01,2022-12-20 18:05:00
331.83917,1.81,13.288754,63376.0,0.40084663,0.4,-1.0969101,0.05,2022-12-20 18:10:00
327.27402,1.75,13.274408,91549.0,0.2657793,0.37,-1.0457575,0.06,2022-12-20 18:15:00
334.90915,1.59,13.326079,70908.0,0.36868697,0.36,-1.154902,0.04,2022-12-20 18:20:00
338.71707,1.68,13.273391,72610.0,0.3729423,0.39,-1.0969101,0.05,2022-12-20 18:25:00
339.74127,1.86,13.295785,114481.0,0.23877367,0.43,-0.9586073,0.04,2022-12-20 18:30:00
344.47284,1.94,13.270331,111864.0,0.25511053,0.46,-0.9586073,0.03,2022-12-20 18:35:00
336.598,1.8,13.242938,98927.0,0.2684346,0.41,-1.0,0.02,2022-12-20 18:40:00
337.0205,1.71,13.210788,83188.0,0.320471,0.39,-1.0969101,0.05,2022-12-20 18:45:00
341.60077,1.82,13.058618,104408.0,0.26629657,0.43,-1.0,0.04,2022-12-20 18:50:00
342.06094,1.92,13.031029,107844.0,0.25889483,0.45,-0.9586073,0.02,2022-12-20 18:55:00
338.57718,1.91,13.07301,111541.0,0.24246274,0.44,-0.9586073,0.01,2022-12-20 19:00:00
338.51602,1.88,13.117171,102574.0,0.26351058,0.43,-1.0,0.02,2022-12-20 19:05:00
337.13568,1.86,13.05601,109995.0,0.24262655,0.42,-0.9586073,0.01,2022-12-20 19:10:00
340.75073,1.72,13.011648,94318.0,0.29250708,0.4,-1.0457575,0.05,2022-12-20 19:15:00
344.9503,1.49,12.989881,81043.0,0.35365164,0.35,-1.0969101,0.01,2022-12-20 19:20:00
346.61697,1.9,12.859137,110826.0,0.26252222,0.46,-0.9586073,0.01,2022-12-20 19:30:00
341.28152,2.24,12.841406,147892.0,0.18745223,0.52,-0.82390875,0.01,2022-12-20 19:35:00
348.71384,2.08,12.868648,130387.0,0.227367,0.51,-0.88605666,0.01,2022-12-20 19:40:00
351.52618,1.99,12.839599,120954.0,0.25130507,0.49,-0.9208188,0.02,2022-12-20 19:45:00
352.74152,2.34,12.657749,126354.0,0.24316359,0.58,-0.82390875,0.02,2022-12-20 20:20:00
349.02838,2.21,12.441021,146846.0,0.20245035,0.53,-0.79588,0.07,2022-12-20 20:25:00
341.88568,2.06,12.526404,138551.0,0.20119485,0.48,-0.853872,0.03,2022-12-20 20:30:00
337.8256,2.08,12.590048,123896.0,0.2167793,0.48,-0.853872,0.04,2022-12-20 20:35:00
351.34018,2.01,12.538728,136445.0,0.22240692,0.49,-0.853872,0.03,2022-12-20 20:40:00
345.5867,2.03,12.527477,144728.0,0.19917311,0.48,-0.853872,0.04,2022-12-20 20:45:00
345.61264,2.16,12.441954,134172.0,0.21489327,0.52,-0.82390875,0.03,2022-12-20 20:50:00
329.16312,2.09,12.472618,105708.0,0.23434097,0.45,-0.88605666,0.01,2022-12-20 20:55:00
331.0571,2.25,12.365412,127670.0,0.1975259,0.49,-0.79588,0.04,2022-12-20 21:00:00
336.25568,2.06,12.299341,129445.0,0.2044996,0.46,-0.82390875,0.01,2022-12-20 21:05:00
351.274,1.76,12.1139965,125073.0,0.24248655,0.43,-0.9208188,0.04,2022-12-20 21:10:00
371.38593,1.59,12.21488,125801.0,0.2867066,0.44,-0.9586073,0.03,2022-12-20 21:15:00
349.45618,1.67,12.262573,142935.0,0.20878448,0.41,-0.88605666,0.02,2022-12-20 21:20:00
358.25348,1.79,12.255991,165748.0,0.19453676,0.46,-0.853872,0.01,2022-12-20 21:25:00
351.3221,1.86,12.271349,159217.0,0.19056669,0.46,-0.82390875,0.01,2022-12-20 21:30:00
344.83234,1.58,12.292209,129199.0,0.22159998,0.38,-0.9586073,0.05,2022-12-20 21:35:00
346.05292,1.38,12.224247,101864.0,0.2841745,0.32,-1.0457575,0.02,2022-12-20 21:40:00
359.7913,1.11,12.402016,47569.0,0.6869368,0.29,-1.2218488,0.01,2022-12-20 21:45:00
359.3268,1.45,12.327133,76917.0,0.42312828,0.38,-1.0969101,0.02,2022-12-20 21:50:00
359.1469,1.57,12.325681,54292.0,0.598524,0.41,-1.0969101,0.02,2022-12-20 21:55:00
355.7003,1.65,12.357363,48655.0,0.6481163,0.42,-1.0969101,0.02,2022-12-20 22:00:00
352.3697,1.81,11.89061,66777.0,0.45860082,0.45,-1.0,0.14,2022-12-20 22:05:00
360.53696,3.03,10.691052,122359.0,0.26878437,0.81,-0.552842,0.44,2022-12-20 22:10:00
369.9698,4.5,10.693063,196455.0,0.18142359,1.23,-0.27572417,0.44,2022-12-20 22:15:00
373.70624,5.33,10.2129965,157719.0,0.23316222,1.49,-0.21467017,0.06,2022-12-20 22:20:00
374.2228,5.54,10.015034,147318.0,0.25069976,1.55,-0.20065947,0.04,2022-12-20 22:25:00
371.3561,5.63,9.853421,147347.0,0.24472143,1.55,-0.17392519,0.17,2022-12-20 22:30:00
376.96017,7.18,9.221458,153413.0,0.24626395,2.04,-0.008773916,0.08,2022-12-20 22:35:00
359.78952,5.73,10.140044,139274.0,0.23461954,1.49,-0.22914802,0.44,2022-12-20 22:40:00
361.4697,5.48,10.3451,134437.0,0.246612,1.43,-0.25963733,0.07,2022-12-20 22:45:00
361.64258,6.15,10.283438,102695.0,0.3233182,1.61,-0.25181198,0.04,2022-12-20 22:50:00
346.86005,5.19,10.312346,68302.0,0.42689595,1.25,-0.38721615,0.1,2022-12-20 22:55:00
346.86005,5.19,9.970291,68302.0,0.42689595,1.25,-0.40893543,0.2,2022-12-20 23:00:00
353.5621,6.79,10.018996,179641.0,0.17227551,1.7,-0.07058106,0.18,2022-12-20 23:05:00
353.64685,6.85,9.936222,189433.0,0.16349232,1.71,-0.045757502,0.03,2022-12-20 23:10:00
362.86627,7.58,9.725318,125284.0,0.26782477,2.0,-0.08092192,0.07,2022-12-20 23:20:00
362.3931,8.0,9.836997,132576.0,0.25206783,2.1,-0.060480744,0.18,2022-12-20 23:25:00
364.73462,7.75,9.891218,126354.0,0.26983646,2.06,-0.08618615,0.04,2022-12-20 23:30:00
361.6687,7.93,9.913854,122512.0,0.27108067,2.07,-0.07572073,0.02,2022-12-20 23:40:00
